GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aftersale,cn.edu.xmu.oomall.aftersale.controller.dto,ArbitrationDto,94,0,0,0,40,0,27,0,27,0
aftersale,cn.edu.xmu.oomall.aftersale.controller.dto,AftersaleDto,108,0,0,0,46,0,31,0,31,0
aftersale,cn.edu.xmu.oomall.aftersale.controller,ArbitrationController,0,31,0,0,0,8,0,3,0,3
aftersale,cn.edu.xmu.oomall.aftersale.controller,AftersaleController,66,27,2,2,11,8,5,3,4,2
aftersale,cn.edu.xmu.oomall.aftersale.dao,AftersaleDao,13,63,0,4,3,17,1,8,1,6
aftersale,cn.edu.xmu.oomall.aftersale.dao,OrderItemDao,0,33,0,2,0,9,0,5,0,4
aftersale,cn.edu.xmu.oomall.aftersale.dao,PaymentDao,0,9,0,0,0,3,0,3,0,3
aftersale,cn.edu.xmu.oomall.aftersale.dao,ArbitrationDao,2,77,1,3,1,22,1,8,0,7
aftersale,cn.edu.xmu.oomall.aftersale.dao,ExpressDao,0,15,0,0,0,4,0,3,0,3
aftersale,cn.edu.xmu.oomall.aftersale.dao,AftersaleExpressDao,0,22,0,0,0,7,0,3,0,3
aftersale,cn.edu.xmu.oomall.aftersale.mapper.po,OrderItemPo,22,46,0,0,3,15,2,11,2,11
aftersale,cn.edu.xmu.oomall.aftersale.mapper.po,AftersalePo,57,167,0,0,1,56,1,38,1,38
aftersale,cn.edu.xmu.oomall.aftersale.mapper.po,AftersaleExpressPo,21,59,0,0,1,20,1,14,1,14
aftersale,cn.edu.xmu.oomall.aftersale.mapper.po,ArbitrationPo,42,122,0,0,1,41,1,28,1,28
aftersale,cn.edu.xmu.oomall.aftersale.dao.bo.aftersale,ReturnAftersale,0,134,0,4,0,35,0,5,0,3
aftersale,cn.edu.xmu.oomall.aftersale.dao.bo.aftersale,ExchangeAftersale,0,133,0,4,0,35,0,5,0,3
aftersale,cn.edu.xmu.oomall.aftersale.dao.bo.aftersale,MaintainAftersale,2,75,0,0,1,20,1,1,1,1
aftersale,cn.edu.xmu.oomall.aftersale.service,AftersaleService,30,94,3,11,7,26,3,10,0,6
aftersale,cn.edu.xmu.oomall.aftersale.service,AftersaleServiceOrderService,0,10,0,0,0,4,0,1,0,1
aftersale,cn.edu.xmu.oomall.aftersale.service,ArbitrationService,10,50,2,2,3,16,2,5,0,5
aftersale,cn.edu.xmu.oomall.aftersale.dao.bo,Arbitration,17,475,0,4,5,76,2,41,2,39
aftersale,cn.edu.xmu.oomall.aftersale.dao.bo,AftersaleExpress,7,87,0,0,3,21,2,15,2,15
aftersale,cn.edu.xmu.oomall.aftersale.dao.bo,OrderItem,59,80,10,0,16,18,10,13,5,13
aftersale,cn.edu.xmu.oomall.aftersale.dao.bo,Aftersale,77,672,7,7,18,123,11,63,6,61
aftersale,cn.edu.xmu.oomall.aftersale,AftersaleApplication,5,3,0,0,2,1,1,1,1,1
aftersale,cn.edu.xmu.javaee.core.util,CloneFactory,379,158,0,0,100,41,11,3,11,3
aftersale,cn.edu.xmu.oomall.aftersale.controller.vo,ShopReceiveVo,36,0,0,0,11,0,8,0,8,0
aftersale,cn.edu.xmu.oomall.aftersale.controller.vo,ShopConfirmVo,9,17,0,0,1,7,1,5,1,5
aftersale,cn.edu.xmu.oomall.aftersale.controller.vo,ArbitrationRequestVo,0,10,0,0,0,4,0,3,0,3
aftersale,cn.edu.xmu.oomall.aftersale.controller.vo,ApplyAftersaleVo,24,52,0,0,1,22,1,15,1,15
aftersale,cn.edu.xmu.oomall.aftersale.controller.vo,AftersaleVo,45,101,0,0,1,43,1,29,1,29
aftersale,cn.edu.xmu.oomall.aftersale.controller.vo,ArbitrationVo,36,80,0,0,1,34,1,23,1,23
